"FileName","FullPath","IncludedInCsproj","DuplicateName","BackupPattern","SuspiciousFolder"
"Program.cs","E:\BDC\Projects\SASZombieAssaultTD\Program.cs","False","False","False","False"
"WaveSystem_P11_05_Snapshot.cs","E:\BDC\Projects\SASZombieAssaultTD\Archive\WaveSystem_P11_05_Snapshot.cs","False","False","False","False"
"InputModule.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\Core\Input\InputModule.cs","False","True","False","False"
"ECSTestSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\ECS\ECSTestSuite.cs","False","True","False","False"
"AnimationECSIntegration.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\ECS\Systems\AnimationECSIntegration.cs","False","True","False","False"
"NavigationVerificationSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\Navigation\NavigationVerificationSuite.cs","False","True","False","False"
"StateBuilder.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\State\StateBuilder.cs","False","True","False","False"
"UIManager.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Engine\UI\UIManager.cs","False","True","False","False"
"AnimationStateMachineValidationReport.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Tools\AnimationStateMachineValidationReport.cs","False","True","False","False"
"AnimationVerificationSuite.cs","E:\BDC\Projects\SASZombieAssaultTD\BDC\Projects\SASZombieAssaultTD\Tools\AnimationVerificationSuite.cs","False","True","False","False"
"GameRoot.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\GameRoot.cs","False","False","False","False"
"AnimationClip.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationClip.cs","False","True","False","False"
"AnimationController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationController.cs","False","False","False","False"
"AnimationDebugTools.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationDebugTools.cs","False","False","False","False"
"AnimationDiagnostics.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationDiagnostics.cs","False","True","False","False"
"AnimationECSIntegration.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationECSIntegration.cs","False","True","False","False"
"AnimationParameters.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationParameters.cs","False","False","False","False"
"AnimationStateMachine.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationStateMachine.cs","False","False","False","False"
"AnimationTrack.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Animation\AnimationTrack.cs","False","False","False","False"
