"ProgramName","FilePath","Empty","InformationalComments","HasNamespace","HasClassDefinition","AnythingElse"
"IProgram.cs","E:\BDC\Projects\SASZombieAssaultTD\IProgram.cs","NO","NO","YES","NO","YES"
"Program.cs","E:\BDC\Projects\SASZombieAssaultTD\Program.cs","NO","NO","YES","YES","NO"
"GameLoop.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameLoop.cs","NO","NO","YES","YES","NO"
"GameRoot.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\GameRoot.cs","NO","NO","YES","YES","NO"
"TimingController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Core\TimingController.cs","NO","NO","YES","YES","NO"
"Enemy.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Enemy.cs","NO","NO","YES","YES","NO"
"Projectile.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Projectile.cs","NO","NO","YES","YES","NO"
"Soldier.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Soldier.cs","NO","NO","YES","YES","NO"
"Turret.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Entities\Turret.cs","NO","NO","YES","YES","NO"
"EnemyManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EnemyManager.cs","NO","NO","YES","YES","NO"
"EntityManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\EntityManager.cs","NO","NO","YES","YES","NO"
"ProjectileManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\ProjectileManager.cs","NO","NO","YES","YES","NO"
"WaveManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Managers\WaveManager.cs","NO","NO","YES","YES","NO"
"Win32Window.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Platform\Win32Window.cs","NO","NO","YES","YES","NO"
"DebugOverlay.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\DebugOverlay.cs","NO","NO","YES","YES","NO"
"Framebuffer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Framebuffer.cs","NO","NO","YES","YES","NO"
"IRenderContext.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\IRenderContext.cs","NO","NO","YES","YES","NO"
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderQueue.cs","NO","NO","YES","YES","NO"
"RenderSurface.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\RenderSurface.cs","NO","NO","YES","YES","NO"
"TextRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\TextRenderer.cs","NO","NO","YES","YES","NO"
"Texture2D.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Texture2D.cs","NO","NO","YES","YES","NO"
"WindowHost.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\WindowHost.cs","NO","NO","YES","YES","NO"
"PathDebugRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Debug\PathDebugRenderer.cs","NO","NO","YES","YES","NO"
"ZombieRenderer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Rendering\Zombies\ZombieRenderer.cs","NO","NO","YES","YES","NO"
"GameScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\GameScene.cs","NO","NO","YES","YES","NO"
"IScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\IScene.cs","NO","NO","YES","NO","YES"
"MainMenuScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\MainMenuScene.cs","NO","NO","YES","YES","NO"
"PauseScene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\PauseScene.cs","NO","NO","YES","YES","NO"
"Scene.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\Scene.cs","NO","NO","YES","YES","NO"
"SceneManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Scenes\SceneManager.cs","NO","NO","YES","YES","NO"
"AnimationSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\AnimationSystem.cs","NO","NO","YES","NO","YES"
"CameraSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\CameraSystem.cs","NO","NO","YES","NO","YES"
"EventDispatcher.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\EventDispatcher.cs","NO","NO","YES","YES","NO"
"GameStateManager.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\GameStateManager.cs","NO","NO","YES","YES","NO"
"InputRouter.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\InputRouter.cs","NO","NO","YES","YES","NO"
"LoggingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\LoggingSystem.cs","NO","NO","YES","YES","NO"
"PathfindingSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\PathfindingSystem.cs","NO","NO","YES","NO","YES"
"RenderQueue.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\RenderQueue.cs","NO","NO","YES","YES","NO"
"AssetBundle.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetBundle.cs","NO","NO","YES","YES","NO"
"AssetDiscovery.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetDiscovery.cs","NO","NO","YES","YES","NO"
"AssetInitializer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetInitializer.cs","NO","NO","YES","YES","NO"
"AssetPipeline.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetPipeline.cs","NO","NO","YES","YES","NO"
"AssetRegistry.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\AssetRegistry.cs","NO","NO","YES","YES","NO"
"DataLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\DataLoader.cs","NO","NO","YES","YES","NO"
"TextureLoader.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Assets\TextureLoader.cs","NO","NO","YES","YES","NO"
"DebugLogger.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\DebugLogger.cs","NO","NO","YES","YES","NO"
"FrameStats.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\FrameStats.cs","NO","NO","YES","YES","NO"
"HeartbeatMonitor.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\HeartbeatMonitor.cs","NO","NO","YES","YES","NO"
"Timing.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Diagnostics\Timing.cs","NO","NO","YES","YES","NO"
"DamageResolver.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\DamageResolver.cs","NO","NO","YES","YES","NO"
"EnemyBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\EnemyBase.cs","NO","NO","YES","YES","NO"
"ProjectileSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\ProjectileSystem.cs","NO","NO","YES","YES","NO"
"TowerBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\TowerBase.cs","NO","NO","YES","YES","NO"
"WaveController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\WaveController.cs","NO","NO","YES","YES","NO"
"AnimationClip.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Animation\AnimationClip.cs","NO","NO","YES","YES","NO"
"AnimationFrame.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Animation\AnimationFrame.cs","NO","NO","YES","YES","NO"
"AnimationPlayer.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Animation\AnimationPlayer.cs","NO","NO","YES","YES","NO"
"BasicZombie.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\BasicZombie.cs","NO","NO","YES","YES","NO"
"ZombieBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieBase.cs","NO","NO","YES","YES","NO"
"ZombieController.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\Gameplay\Zombies\ZombieController.cs","NO","NO","YES","YES","NO"
"Button.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Button.cs","NO","NO","YES","YES","NO"
"HUD.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\HUD.cs","NO","NO","YES","YES","NO"
"LayoutSystem.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\LayoutSystem.cs","NO","NO","YES","YES","NO"
"Menus.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Menus.cs","NO","NO","YES","YES","NO"
"Panel.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\Panel.cs","NO","NO","YES","YES","NO"
"UIElementBase.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Systems\UI\UIElementBase.cs","NO","NO","YES","YES","NO"
"AppendixScripts.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\AppendixScripts.cs","NO","NO","YES","NO","YES"
"AutomationEnhancements.cs","E:\BDC\Projects\SASZombieAssaultTD\Engine\Tools\AutomationEnhancements.cs","NO","NO","YES","NO","YES"
